2600,1.828,3.685
2616,1.838,3.685
2632,1.843,3.685
2632,1.838,3.685
2648,1.862,3.783
2664,1.887,3.783
2680,1.906,3.783
2696,2.019,3.685
2712,1.940,3.685
2712,1.794,3.685
2728,1.745,3.783
2744,1.686,3.685
2760,1.662,3.685
2776,1.672,3.685
2792,1.667,3.685
2808,1.686,3.783
2808,1.716,3.587
2824,1.711,3.685
2840,1.789,3.685
2856,2.097,3.685
2872,2.869,3.881
2888,3.490,3.685
2888,2.615,4.370
2904,1.559,3.685
2920,1.373,3.685
2936,1.364,3.685
2952,1.398,4.174
2968,1.413,3.685
2983,1.437,3.685
2984,1.476,4.272
3000,1.525,3.587
3016,1.584,3.685
3032,1.628,3.685
3048,1.672,3.685
3064,1.720,3.685
3064,1.740,3.685
3080,1.760,3.685
3096,1.769,3.685
3112,1.784,3.685
3128,1.799,3.587
3144,1.823,3.587
3159,1.808,3.587
3160,1.760,3.685
3176,1.706,3.685
3192,1.686,3.685
3208,1.720,3.685
3224,1.760,3.587
3240,1.774,3.685
3240,1.774,3.685
3256,1.769,3.685
3272,1.769,3.587
3288,1.769,3.685
3304,1.764,3.685
3320,1.750,3.685
3335,1.833,3.685
3336,1.891,3.783
3352,1.823,3.685
3368,1.667,3.685
3384,1.593,3.685
3400,1.559,3.587
3416,1.554,3.783
3416,1.569,4.174
3432,1.588,3.783
3448,1.598,3.685
3464,1.579,3.685
3480,1.618,3.685
3496,1.808,3.685
3496,2.341,3.685
3512,3.206,3.685
3528,3.040,3.685
3544,1.774,3.685
3560,1.339,3.685
3576,1.271,3.587
3592,1.295,3.783
3592,1.408,3.881
3608,1.476,3.685
3624,1.525,3.587
3640,1.603,3.783
3656,1.657,3.783
3672,1.691,3.783
3672,1.691,3.881
3688,1.701,3.783
3704,1.735,3.783
3720,1.720,3.685
3736,1.725,3.783
3752,1.720,3.783
3768,1.740,3.783
3768,1.779,3.881
3784,1.769,4.174
3799,1.711,3.783
3815,1.652,3.978
3831,1.584,3.783
3847,1.584,3.783
3848,1.584,3.783
3863,1.588,3.881
3879,1.603,3.783
3895,1.584,3.783
3911,1.598,4.565
3927,1.574,3.881
3943,1.549,3.783
3944,1.588,3.978
3959,1.755,3.881
3975,1.784,3.881
3991,1.716,3.978
4007,1.632,3.881
4023,1.554,3.978
4024,1.525,3.783
4039,1.491,3.881
4055,1.505,3.881
4071,1.525,3.783
4087,1.554,3.978
4103,1.564,3.881
4119,1.662,3.881
4120,1.950,3.783
4135,2.669,3.978
4151,3.328,3.978
4167,2.537,3.978
4183,1.403,3.881
4199,1.256,3.978
4200,1.241,4.174
4215,1.290,4.272
4231,1.349,4.076
4247,1.413,3.978
4263,1.457,3.978
4279,1.530,3.881
4295,1.540,3.978
4296,1.554,3.978
4311,1.603,3.978
4327,1.642,4.370
4343,1.672,3.881
4359,1.681,3.783
4375,1.716,4.370
4376,1.735,3.978
4391,1.764,3.978
4407,1.740,3.881
4423,1.701,4.370
4439,1.681,3.978
4455,1.676,3.978
4471,1.667,4.076
4471,1.701,3.978
4487,1.745,3.978
4503,1.755,3.978
4519,1.760,3.978
4535,1.764,3.978
4551,1.740,3.978
4552,1.735,3.978
4567,1.794,3.978
4583,1.931,4.076
4599,1.891,4.076
4615,1.779,3.978
4631,1.716,4.076
4647,1.667,3.978
4647,1.662,3.978
4663,1.632,4.174
4679,1.642,4.076
4695,1.647,4.076
4711,1.662,4.076
4727,1.662,4.076
4727,1.755,4.076
4743,2.111,3.978
4759,2.908,3.978
4775,3.500,3.978
4791,2.517,4.076
